Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
July-2018,1829.95,2012.00,1829.95,1941.25,5412053,196104,10529888879.00,2673577,49.40,182.05,111.30
August-2018,1951.00,2090.50,1941.00,2078.20,2809851,114656,5664558777.00,1471330,52.36,149.50,127.20
September-2018,2080.05,2214.15,2018.85,2184.50,2134177,103531,4494379185.00,938226,43.96,195.30,104.45
October-2018,2186.00,2273.00,1784.00,1937.60,6009839,182965,12087389910.00,3122597,51.96,489.00,-248.40
November-2018,1940.10,2000.00,1787.00,1970.60,3600207,108475,6826796248.00,1710121,47.50,213.00,30.50
December-2018,1980.10,2028.40,1872.00,1893.55,2776094,96850,5458354670.00,739922,26.65,156.40,-86.55
January-2019,1905.00,2019.50,1809.55,2014.60,3463170,154517,6556309698.00,1053535,30.42,209.95,109.60
February-2019,2005.00,2097.80,1882.00,1984.25,3664344,103471,7417931701.00,1837759,50.15,215.80,-20.75
March-2019,1990.00,2069.00,1959.00,2000.40,2582161,99920,5182547730.00,1068476,41.38,110.00,10.40
April-2019,2010.00,2265.00,2006.00,2254.95,3232471,123855,6756853223.00,1264260,39.11,259.00,244.95
May-2019,2260.00,2260.00,2034.00,2196.85,2859620,127698,6059516292.00,1073457,37.54,226.00,-63.15
June-2019,2207.80,2290.65,2145.20,2227.25,2060686,87737,4608906982.00,875850,42.50,145.45,19.45
July-2019,2239.65,2259.90,2060.00,2205.40,4300813,137400,9191159345.00,2414546,56.14,199.90,-34.25
August-2019,2206.00,2280.85,2145.90,2258.05,2088400,88153,4619932264.00,945974,45.30,134.95,52.05
September-2019,2259.00,2296.00,1975.00,2099.20,2349328,157571,4924039553.00,824742,35.11,321.00,-159.80
October-2019,2099.50,2285.50,1929.00,2270.20,2513926,130634,5180661945.00,1099857,43.75,356.50,170.70
November-2019,2270.00,2274.20,2036.00,2052.70,2341916,113669,4996417739.00,1206970,51.54,238.20,-217.30
December-2019,2060.00,2246.15,1983.85,2161.30,3728749,159352,7794903913.00,1562128,41.89,262.30,101.30
January-2020,2170.00,2259.95,2072.40,2079.30,2460473,140228,5388774748.00,1277544,51.92,187.55,-90.70
February-2020,2080.00,2197.00,2064.80,2191.60,1385027,73749,2964475038.00,774344,55.91,132.20,111.60
